# ----------------------------------------
# Resumen de la tecnología
# Cuenta: ridemotohub
# Propiedad: ridemotohub.com
# ----------------------------------------
#  
# Fecha de inicio: 20260112
# Fecha de finalización: 20260411
Plataforma,Usuarios activos
"[""Web""]",70

#  
# Fecha de inicio: 20260112
# Fecha de finalización: 20260411
Sistema operativo,Usuarios activos
Windows,34
Linux,12
Android,8
Macintosh,8
iOS,6

#  
# Fecha de inicio: 20260112
# Fecha de finalización: 20260411
Categoría de dispositivo o plataforma,Usuarios activos
web / desktop,55
web / mobile,15
web / smart tv,1

#  
# Fecha de inicio: 20260112
# Fecha de finalización: 20260411
Navegador,Usuarios activos
Chrome,50
Android Webview,5
Edge,5
Safari,4
Firefox,2
Safari (in-app),2
Opera Mini,1

#  
# Fecha de inicio: 20260112
# Fecha de finalización: 20260411
Categoría de dispositivo,Usuarios activos
desktop,55
mobile,15
smart tv,1

#  
# Fecha de inicio: 20260112
# Fecha de finalización: 20260411
Resolución de pantalla,Usuarios activos
800x600,35
1024x1024,7
393x851,7
1920x1080,5
1440x900,2
1512x982,2
375x812,2
1280x720,1
1470x956,1
1536x864,1
1600x1600,1
1728x1117,1
2560x1440,1
360x910,1
385x833,1
390x844,1
412x892,1

#  
# Fecha de inicio: 20260112
# Fecha de finalización: 20260411
Día N


#  
# Fecha de inicio: 20260112
# Fecha de finalización: 20260411
Aplicación,Versión,Estado


#  
# Fecha de inicio: 20260411
# Fecha de finalización: 20260411
Aplicación,Usuarios sin fallos


# Fecha de inicio: 20260410
# Fecha de finalización: 20260410
Aplicación,Usuarios sin fallos


#  
# Fecha de inicio: 20260112
# Fecha de finalización: 20260411
Modelo de dispositivo,Usuarios activos
