Fecha,Clics,Impresiones,CTR,Posición
2026-01-11,0,4,0%,48.8
2026-01-12,0,8,0%,39.5
2026-01-13,0,2,0%,53
2026-01-14,0,4,0%,26.5
2026-01-15,0,2,0%,86
2026-01-16,1,3,33.33%,30.3
2026-01-17,0,3,0%,56.3
2026-01-18,0,4,0%,27
2026-01-19,0,10,0%,22.5
2026-01-20,0,5,0%,26.8
2026-01-21,0,3,0%,27
2026-01-22,0,6,0%,20.7
2026-01-23,1,6,16.67%,22.8
2026-01-24,0,11,0%,16
2026-01-25,0,3,0%,20.7
2026-01-26,0,4,0%,64.2
2026-01-27,0,2,0%,7.5
2026-01-28,0,3,0%,10.3
2026-01-29,0,4,0%,11
2026-01-30,0,6,0%,7.7
2026-01-31,0,4,0%,7.8
2026-02-01,0,6,0%,15
2026-02-02,0,6,0%,21.2
2026-02-03,0,7,0%,24.1
2026-02-04,0,5,0%,16.2
2026-02-05,0,10,0%,22.7
2026-02-06,0,8,0%,19.8
2026-02-07,1,2,50%,5.5
2026-02-08,0,1,0%,51
2026-02-09,1,7,14.29%,20.3
2026-02-10,0,8,0%,28.5
2026-02-11,0,4,0%,9.2
2026-02-12,0,2,0%,18.5
2026-02-13,0,1,0%,8
2026-02-14,0,2,0%,12.5
2026-02-15,0,1,0%,8
2026-02-16,0,3,0%,6.7
2026-02-17,0,4,0%,21.2
2026-02-18,0,1,0%,7
2026-02-19,0,2,0%,8.5
2026-02-20,0,7,0%,18.7
2026-02-21,0,3,0%,26.3
2026-02-22,0,2,0%,11
2026-02-23,0,0,,
2026-02-24,0,0,,
2026-02-25,0,2,0%,29.5
2026-02-26,0,3,0%,54
2026-02-27,0,0,,
2026-02-28,0,0,,
2026-03-01,0,0,,
2026-03-02,0,0,,
2026-03-03,0,1,0%,36
2026-03-04,0,0,,
2026-03-05,0,0,,
2026-03-06,0,0,,
2026-03-07,1,2,50%,4.5
2026-03-08,0,0,,
2026-03-09,0,0,,
2026-03-10,0,0,,
2026-03-11,0,1,0%,25
2026-03-12,0,0,,
2026-03-13,0,1,0%,9
2026-03-14,0,0,,
2026-03-15,0,0,,
2026-03-16,0,2,0%,6
2026-03-17,0,3,0%,8.3
2026-03-18,0,1,0%,2
2026-03-19,0,0,,
2026-03-20,0,1,0%,5
2026-03-21,0,0,,
2026-03-22,0,0,,
2026-03-23,0,1,0%,11
2026-03-24,0,1,0%,6
2026-03-25,0,1,0%,27
2026-03-26,0,2,0%,38
2026-03-27,0,1,0%,7
2026-03-28,0,3,0%,13.3
2026-03-29,0,0,,
2026-03-30,0,3,0%,6.7
2026-03-31,0,2,0%,17
2026-04-01,0,3,0%,16
2026-04-02,0,0,,
2026-04-03,0,0,,
2026-04-04,0,1,0%,6
2026-04-05,0,1,0%,37
2026-04-06,0,0,,
2026-04-07,0,0,,
2026-04-08,0,1,0%,26
2026-04-09,0,1,0%,4
2026-04-10,0,2,0%,19
