País,Clics,Impresiones,CTR,Posición
Guatemala,4,100,4%,9.94
La India,1,2,50%,8.5
Estados Unidos,0,52,0%,27.79
España,0,28,0%,65.04
Reino Unido,0,6,0%,20.83
México,0,6,0%,36.83
China,0,4,0%,5.75
Perú,0,4,0%,28
Costa Rica,0,3,0%,8.33
Japón,0,2,0%,9
Venezuela,0,2,0%,9
Argentina,0,2,0%,10
Colombia,0,2,0%,10.5
Canadá,0,2,0%,16
Paraguay,0,1,0%,4
Mongolia,0,1,0%,10
Arabia Saudí,0,1,0%,10
Brasil,0,1,0%,11
Indonesia,0,1,0%,11
Omán,0,1,0%,12
Taiwán,0,1,0%,12
El Salvador,0,1,0%,13
Ecuador,0,1,0%,17
Bangladés,0,1,0%,18
Albania,0,1,0%,20
Chile,0,1,0%,22
Filipinas,0,1,0%,25
Portugal,0,1,0%,33
